Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Monthly Debt,Months since last delinquent,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
77598f7b-32e7-4e3b-a6e5-06ba0d98fe8a,e777faab-98ae-45af-9a86-7ce5b33b1011,Fully Paid,347666,Long Term,721,806949,3,Own Home,8741.9,NA,12,9,0,256329,386958,0,0
11653c24-aa0a-4435-9ec7-4720d2bf4da8,d377d2ea-5cf8-4ee2-b7ba-f5be4dbb1b11,Fully Paid,163966,Short Term,678,719910,9,Home Mortgage,12778.26,8,6.4,9,1,66025,138248,0,1
5bc5f041-9d56-4ed0-af6a-37d12daa5c49,ac460fac-928b-4149-b919-69ea4eb9750f,Fully Paid,392282,Long Term,688,974662,8,Home Mortgage,10396.42,29,12,11,0,35663,242946,0,0
10da47ac-d3ce-461c-bf95-1b9d0cac176f,d110ff2c-c936-487a-8e4f-8a192bad9cd8,Fully Paid,453464,Short Term,712,895147,3,Rent,17007.85,NA,14.2,12,1,137845,222926,1,0
29cf8611-c24d-4ad2-a3b5-2dadd9b7850f,5df79973-ce71-49e2-a6a2-a52221cd1b1a,Fully Paid,132792,Short Term,751,668990,4,Rent,6132.25,NA,14.7,5,0,61199,214742,0,0
e67fc85b-55e8-4961-9199-8ae4610b2e24,fc5cff9c-c6b5-4616-a83f-c6866e7ce032,Charged Off,119504,Short Term,745,938315,2,Home Mortgage,11807.17,NA,13,11,0,32300,104170,0,0
9cca9017-f068-40d9-bc1f-b3628215b25c,f0d6b352-bcf0-4114-9180-3e25878ddf69,Fully Paid,280588,Short Term,717,671080,3,Rent,17447.89,10,10,10,1,168169,470360,1,0
76fa89b9-e6a8-49af-afa1-8151315aba8e,9d42ab3f-ccf7-4b8e-9dc0-54caaae9c343,Fully Paid,340604,Long Term,618,928701,10,Home Mortgage,21205.52,8,14.4,5,0,291137,368808,0,0
856c1ab9-2294-43a2-8121-efae82cd595c,3edb6bb1-2045-4746-bd78-cdd4a7683b8d,Charged Off,109802,Short Term,745,474069,0,Rent,1497.39,33,11,2,0,91048,186604,0,0
59d28b2c-d66d-4cef-b04a-4de6c8d8a8b8,7a826762-3889-4043-9425-363df5f6101d,Fully Paid,218988,Short Term,740,775409,4,Home Mortgage,8141.88,NA,14.9,5,0,100206,186230,0,0
0b23f73f-0b61-4188-b468-55c24da09b9d,eb9b4903-d0df-4a68-bec9-00583ed78f33,Fully Paid,133078,Short Term,709,804460,0,Rent,9117.34,76,12.5,10,0,111568,243760,0,0
8cc6d0be-d411-4b8f-bdc2-c26e113515a9,36096b3d-97e7-4b1e-89bd-660289a7a62d,Fully Paid,54076,Short Term,744,485697,1,Rent,2655.06,NA,9,6,0,19988,282260,0,0
01b645c9-7eaa-4403-ae13-18563bfce3ed,5e02406a-3cd6-49f7-bdc7-0f90ec0bb030,Fully Paid,348832,Long Term,704,497306,0,Rent,3257.36,25,13,4,0,90022,167860,0,0
e8283bff-046a-4655-a90a-8ed060e8df8e,6ecfe8c1-8b24-472b-9efa-0fd181df38e9,Fully Paid,214786,Short Term,723,883329,9,Home Mortgage,11924.97,NA,14.3,5,0,154755,193314,0,0
5c2cc96f-159d-42ce-8ca0-f6cf1995119f,01246538-e5a4-46e1-9db5-082889444846,Fully Paid,109538,Short Term,697,567606,7,Home Mortgage,5770.68,46,14.3,10,0,86716,151206,0,0
932aa46f-27ae-4cf9-9e5f-ce44b09e8e20,12be2338-32c8-459d-8201-e85308164a9b,Fully Paid,190498,Short Term,706,892164,1,Rent,8996.12,NA,13.2,6,0,88160,117744,0,0
